Gene symbol,RIP LFE,Target bin,Reads bin,Clusters bin,ACUK bin,WGGA bin,RRE Ratio bin,RRE CDS-3UTR bin,Exon Intron Only bin,Exon Intron Ratio bin,Region Exclusive bin,CDS per gene bin,CDS 3UTR Ratio bin,ASD bin,,,,,,,,
HIST1H2BE,-0.111255922,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HIST1H2BF,-0.430380083,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HIST1H2BG,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BH,-0.181315569,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HIST1H2BI,-0.68460168,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HIST1H2BJ,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BK,-0.347703909,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,,2-3 CDS,,,,,,,,,,
HIST1H2BL,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BM,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BN,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BO,,,,,,,,,,,,,,,,,,,,,,
HIST1H3A,,,,,,,,,,,,,,,,,,,,,,
HIST1H3B,,,,,,,,,,,,,,,,,,,,,,
HIST1H3C,,,,,,,,,,,,,,,,,,,,,,
HIST1H3D,,,,,,,,,,,,,,,,,,,,,,
HIST1H3E,,,,,,,,,,,,,,,,,,,,,,
HIST1H3F,,,,,,,,,,,,,,,,,,,,,,
HIST1H3G,,,,,,,,,,,,,,,,,,,,,,
HIST1H3H,-1.804737775,Target,37-102 Reads,2-4 Clusters,0 ACUK,0 WGGA,,,Exon,,,2-3 CDS,2 to 4:1,,,,,,,,,
HIST1H3I,,,,,,,,,,,,,,,,,,,,,,
HIST1H4A,,,,,,,,,,,,,,,,,,,,,,
HIST1H4B,,,,,,,,,,,,,,,,,,,,,,
HIST1H4C,-1.23218951,Target,103-301 Reads,5-10 Clusters,0 ACUK,1 WGGA,,,Exon,,,4-6 CDS,> 4:1,,,,,,,,,
HIST1H4D,,,,,,,,,,,,,,,,,,,,,,
HIST1H4E,,,,,,,,,,,,,,,,,,,,,,
HIST1H4F,,,,,,,,,,,,,,,,,,,,,,
HIST1H4G,,,,,,,,,,,,,,,,,,,,,,
HIST1H4H,,,,,,,,,,,,,,,,,,,,,,
HIST1H4I,,,,,,,,,,,,,,,,,,,,,,
HIST1H4J,,,,,,,,,,,,,,,,,,,,,,
HIST1H4K,,,,,,,,,,,,,,,,,,,,,,
HIST1H4L,,,,,,,,,,,,,,,,,,,,,,
HIST2H2AA3,-1.994335778,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HIST2H2AA4,,,,,,,,,,,,,,,,,,,,,,
HIST2H2AB,,,,,,,,,,,,,,,,,,,,,,
HIST2H2AC,,,,,,,,,,,,,,,,,,,,,,
HIST2H2BE,-1.64389321,Target,37-102 Reads,2-4 Clusters,,,,,Exon,,,1 CDS,1 to 1.99:1,,,,,,,,,
HIST2H2BF,,,,,,,,,,,,,,,,,,,,,,
HIST2H3A,,,,,,,,,,,,,,,,,,,,,,
HIST2H3C,,,,,,,,,,,,,,,,,,,,,,
HIST2H3D,,,,,,,,,,,,,,,,,,,,,,
HIST2H3PS2,,,,,,,,,,,,,,,,,,,,,,
HIST2H4A,,,,,,,,,,,,,,,,,,,,,,
HIST2H4B,,,,,,,,,,,,,,,,,,,,,,
HIST3H2A,-1.855679968,Target,5-12 Reads,2-4 Clusters,,,,,Exon,,,1 CDS,,,,,,,,,,
HIST3H2BB,,,,,,,,,,,,,,,,,,,,,,
HIST3H3,,,,,,,,,,,,,,,,,,,,,,
HIST4H4,,,,,,,,,,,,,,,,,,,,,,
HIVEP1,0.776000565,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,CDS, > 13 CDS,,,,,,,,,,
HIVEP2,0.865732748,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
HIVEP3,0.576456506,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HJURP,0.11806955,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,7-13 CDS,> 4:1,,,,,,,,,
HK1,0.86518661,Target,103-301 Reads,11-24 Clusters,2-3 ACUK,4 or more WGGA,< 1:1,,Exon,,CDS, > 13 CDS,,,,,,,,,,
HK2,1.469117822,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,,1 CDS,1:3 to 3:4,,,,,,,,,
HK3,,,,,,,,,,,,,,,,,,,,,,
HKDC1,,,,,,,,,,,,,,,,,,,,,,
HKR1,0.168598712,Target, > 301 Reads,11-24 Clusters,,,,,Exon,,, > 13 CDS,,,,,,,,,,
HLA-A,0.102707515,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,+ASD/-Target,,,,,,,,
HLA-B,0.182444396,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HLA-C,0.357825327,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HLA-DMA,,,,,,,,,,,,,,,,,,,,,,
HLA-DMB,-0.592330293,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HLA-DOA,-0.138976852,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HLA-DOB,,,,,,,,,,,,,,,,,,,,,,
HLA-DPA1,-0.991306089,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HLA-DPB1,-0.322922321,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HLA-DQA1,,,,,,,,,,,,,,,,,,,,,,
HLA-DQA2,,,,,,,,,,,,,,,,,,,,,,
HLA-DQB1,0.055615303,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HLA-DQB2,,,,,,,,,,,,,,,,,,,,,,
HLA-DRA,,,,,,,,,,,,,,,,,,,,,,
HLA-DRB1,-0.364140408,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,+ASD/-Target,,,,,,,,
HLA-DRB5,,,,,,,,,,,,,,,,,,,,,,
HLA-DRB6,-0.181703738,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HLA-E,0.39728295,Target,5-12 Reads,1 Cluster,,,,,Exon,,3'UTR,,,,,,,,,,,
HLA-F,0.119735865,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HLA-G,-0.137898963,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HLA-J,0.396784206,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HLCS,1.234411646,Target, > 301 Reads, > 24 Clusters,,,,,,5-20:1,,7-13 CDS,1:3 to 3:4,,,,,,,,,
HLF,,,,,,,,,,,,,,,,,,,,,,
HLTF,-0.585201966,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,7-13 CDS,2 to 4:1,,,,,,,,,
HLX,1.018059271,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HM13,-0.241586519,Target,5-12 Reads,2-4 Clusters,1 ACUK,0 WGGA,,,,<= 1:1,,1 CDS,,,,,,,,,,
HMBOX1,-0.47031902,Target,103-301 Reads,11-24 Clusters,,,,,,<= 1:1,,,,,,,,,,,,
HMBS,0.659322112,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HMCN1,,,,,,,,,,,,,,,,,,,,,,
HMCN2,0.217048329,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HMG20A,-0.272682688,Target,37-102 Reads,5-10 Clusters,,,,,,1-5:1,,1 CDS,at most 1:3,,,,,,,,,
HMG20B,0.005883894,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HMGA1,-1.358814294,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HMGA2,-1.609574875,Target,13-36 Reads,2-4 Clusters,2-3 ACUK,0 WGGA,,ACUK-3UTR,Exon,,3'UTR,,,,,,,,,,,
HMGB1,-0.614419983,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,3'UTR,,,,,,,,,,,
HMGB1P14,,,,,,,,,,,,,,,,,,,,,,
HMGB2,0.352808474,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,2-3 CDS,1:3 to 3:4,,,,,,,,,
HMGB3,-0.364768091,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,3'UTR,,,,,,,,,,,
HMGB3L1,0.070340167,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HMGCL,0.621069877,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HMGCLL1,,,,,,,,,,,,,,,,,,,,,,
HMGCR,0.857155444,Target,103-301 Reads, > 24 Clusters,,,,,Exon,,,7-13 CDS,1 to 1.99:1,,,,,,,,,
HMGCS1,0.269552339,Target, > 301 Reads, > 24 Clusters,,,,,,1-5:1,, > 13 CDS,1 to 1.99:1,,,,,,,,,
HMGCS2,,,,,,,,,,,,,,,,,,,,,,
HMGN1,-1.017034742,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HMGN2,-0.099724236,Target,13-36 Reads,2-4 Clusters,0 ACUK,0 WGGA,,,Exon,,,,,,,,,,,,,
HMGN2P42,,,,,,,,,,,,,,,,,,,,,,
HMGN3,-0.889090703,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HMGN4,-0.8253787,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,3'UTR,,,,,,,,,,,
HMGN5,0.434631369,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HMGXB3,1.293330885,Target,103-301 Reads,11-24 Clusters,4 or more ACUK,2-3 WGGA,> 1:1,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
HMGXB4,0.373388205,Target, > 301 Reads, > 24 Clusters,,,,,,> 20:1,, > 13 CDS,1 to 1.99:1,,,,,,,,,
HMHA1,0.760537984,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HMHB1,,,,,,,,,,,,,,,,,,,,,,
HMMR,0.52647701,Target,5-12 Reads,1 Cluster,0 ACUK,1 WGGA,,WGGA-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
HMOX1,0.10331885,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HMOX2,0.374403195,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HMSD,,,,,,,,,,,,,,,,,,,,,,
HMX1,0.291805611,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HMX2,,,,,,,,,,,,,,,,,,,,,,
HMX3,,,,,,,,,,,,,,,,,,,,,,
HN1,-0.72818959,Target,37-102 Reads,5-10 Clusters,0 ACUK,0 WGGA,,,Exon,,,2-3 CDS,1 to 1.99:1,,,,,,,,,
HN1L,0.062304587,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,4-6 CDS,at most 1:3,,,,,,,,,
HNF1A,0.362657601,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HNF1B,-0.390152718,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HNF4A,0.302056009,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HNF4G,,,,,,,,,,,,,,,,,,,,,,
HNMT,,,,,,,,,,,,,,,,,,,,,,
HNRNPA0,0.364209719,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,7-13 CDS,1:3 to 3:4,,,,,,,,,
HNRNPA1,0.47989481,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,,1 CDS,at most 1:3,,,,,,,,,
HNRNPA1L2,,,,,,,,,,,,,,,,,,,,,,
HNRNPA2B1,-0.453985017,Target, > 301 Reads, > 24 Clusters,,,,,,1-5:1,, > 13 CDS,> 4:1,,,,,,,,,
HNRNPA3,-1.263531314,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,3'UTR,,,,,,,,,,,
HNRNPAB,-0.8898908,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,4-6 CDS,1:3 to 3:4,,,,,,,,,
HNRNPC,-0.291216613,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,1 to 1.99:1,,,,,,,,,
HNRNPCL1,,,,,,,,,,,,,,,,,,,,,,
HNRNPD,-0.976867562,Target,13-36 Reads,2-4 Clusters,1 ACUK,0 WGGA,,,Exon,,,1 CDS,1 to 1.99:1,,,,,,,,,
HNRNPF,-0.532658196,Target, > 301 Reads,11-24 Clusters,,,,,Exon,,, > 13 CDS,2 to 4:1,,,,,,,,,
HNRNPH1,-0.284895109,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,2 to 4:1,,,,,,,,,
HNRNPH2,-0.231167327,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,+ASD/+Target,,,,,,,,
HNRNPH3,-1.415314792,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,2 to 4:1,,,,,,,,,
HNRNPK,0.603144785,Target,37-102 Reads,2-4 Clusters,0 ACUK,0 WGGA,,,Exon,,,2-3 CDS,2 to 4:1,,,,,,,,,
HNRNPL,0.142072837,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,> 4:1,,,,,,,,,
HNRNPM,1.492014782,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
HNRNPR,-0.627313927,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
HNRNPU,-0.254548448,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,1:3 to 3:4,,,,,,,,,
HNRNPUL1,0.760699826,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,2 to 4:1,,,,,,,,,
HNRNPUL2,0.619146373,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,CDS, > 13 CDS,,,,,,,,,,
HNRPDL,0.12982543,Target,103-301 Reads,11-24 Clusters,,,,,,5-20:1,,7-13 CDS,1 to 1.99:1,,,,,,,,,
HNRPLL,0.084776608,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
HOGA1,,,,,,,,,,,,,,,,,,,,,,
HOMER1,-0.12977505,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,7-13 CDS,1:3 to 3:4,+ASD/+Target,,,,,,,,
HOMER2,0.871849763,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,2-3 CDS,1:3 to 3:4,,,,,,,,,
HOMER3,0.197419974,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOMEZ,,,,,,,,,,,,,,,,,,,,,,
HOOK1,0.892944948,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,2-3 CDS,at most 1:3,,,,,,,,,
HOOK2,1.007076572,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOOK3,-1.250426377,Target,13-36 Reads,2-4 Clusters,0 ACUK,1 WGGA,,WGGA-CDS,Exon,,CDS,2-3 CDS,,,,,,,,,,
HOPX,-1.016997658,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HORMAD1,,,,,,,,,,,,,,,,,,,,,,
HORMAD2,,,,,,,,,,,,,,,,,,,,,,
HOTAIR,-1.797298988,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXA1,-1.47406594,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,+ASD/-Target,,,,,,,,
HOXA10,-0.38923475,Target,103-301 Reads,11-24 Clusters,1 ACUK,2-3 WGGA,< 1:1,,Exon,,,4-6 CDS,1:3 to 3:4,,,,,,,,,
HOXA11,0.744340328,Target,13-36 Reads,2-4 Clusters,1 ACUK,0 WGGA,,,Exon,,,1 CDS,1 to 1.99:1,,,,,,,,,
HOXA11AS,-0.033090625,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXA13,-0.557896782,Target,13-36 Reads,2-4 Clusters,0 ACUK,1 WGGA,,,Exon,,,1 CDS,1 to 1.99:1,,,,,,,,,
HOXA2,,,,,,,,,,,,,,,,,,,,,,
HOXA3,-0.077519492,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXA4,-0.709974342,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXA5,1.096794222,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,1:3 to 3:4,,,,,,,,,
HOXA6,1.054388695,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXA7,-0.250116516,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXA9,-0.490833077,Target,37-102 Reads,2-4 Clusters,1 ACUK,0 WGGA,,,Exon,,,1 CDS,1 to 1.99:1,,,,,,,,,
HOXB1,,,,,,,,,,,,,,,,,,,,,,
HOXB13,0.642423797,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXB2,-1.334693462,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXB3,-0.578085131,Target,103-301 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,5'UTR,,,,,,,,,,,
HOXB4,0.082611539,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXB5,-0.222384453,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXB6,0.775191572,Target,13-36 Reads,2-4 Clusters,1 ACUK,0 WGGA,,,,<= 1:1,,,,,,,,,,,,
HOXB7,-0.42458811,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXB8,-0.033386148,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXB9,-0.785337982,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXC10,-0.52763602,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXC11,-0.508844652,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXC12,,,,,,,,,,,,,,,,,,,,,,
HOXC13,-0.192543152,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXC4,-0.433860303,Target,5-12 Reads,1 Cluster,,,,,Exon,,3'UTR,,,,,,,,,,,
HOXC5,-0.25196149,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXC6,-0.4348985,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXC8,0.0522319,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXC9,-0.139582275,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXD1,-0.13827355,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXD10,0.673067478,Target,37-102 Reads,5-10 Clusters,,,,,,1-5:1,,4-6 CDS,> 4:1,,,,,,,,,
HOXD11,0.780336285,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,1:3 to 3:4,,,,,,,,,
HOXD12,,,,,,,,,,,,,,,,,,,,,,
HOXD13,-0.321893337,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXD3,0.265286441,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXD4,-0.498219829,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXD8,0.000277468,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HOXD9,-0.170368509,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HP1BP3,-0.229596497,Target,37-102 Reads,5-10 Clusters,,,,,,1-5:1,,2-3 CDS,1 to 1.99:1,,,,,,,,,
HPCA,0.288108614,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HPCAL1,0.203732579,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HPCAL4,-0.054352349,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HPD,,,,,,,,,,,,,,,,,,,,,,
HPDL,,,,,,,,,,,,,,,,,,,,,,
HPGD,-0.955618115,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HPGDS,,,,,,,,,,,,,,,,,,,,,,
HPN,,,,,,,,,,,,,,,,,,,,,,
HPRT1,-1.433932527,Target,5-12 Reads,2-4 Clusters,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,2-3 CDS,,,,,,,,,,
HPS1,0.041176838,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
HPS3,0.818790043,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,CDS,2-3 CDS,,,,,,,,,,
HPS4,1.286102327,Target,103-301 Reads,11-24 Clusters,,,,,,5-20:1,,7-13 CDS,> 4:1,,,,,,,,,
HPS5,0.364598035,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
HPS6,1.292103978,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,CDS,4-6 CDS,,,,,,,,,,
